"","media_url","channel_id"
"1","abcnews.go.com","UCBi2mrWuNuyYy4gbM6fU18Q"
"2","aim.org","UCj41LMgg5G085QyTsSgy1TQ"
"3","alternet.org",""
"4","theamericanconservative.com","UCiM2qJsoY5oNZuYrh3pZAsg"
"5","prospect.org",""
"6","spectator.org","UCETvTnnDut4ioV97kJtzA4A"
"7","americanthinker.com",""
"8","theantimedia.org","UC3WTkn7pdy8nROv3dEtwwMA"
"9","apnews.com","UC52X5wxOL_s5yw0dQk7NtgA"
"10","atlantablackstar.com","UC1hxUKIonH_8N7Xqj65IEsg"
"11","attn.com","UCX1QptigcsbBubVqtB1JK7g"
"12","axios.com","UCfU4-ArXuSX0tpyApyklMAg"
"13","beforeitsnews.com","UCXpMqorZWe4YMxUk_SBortw"
"14","bipartisanreport.com",""
"15","bizpacreview.com","UCka_CL7uJJthyJt3ovloWWA"
"16","blackamericaweb.com","UCexetvuR0DbNlprwhe4Ze1g"
"17","blacknews.com",""
"18","blavity.com","UCGR4RNo3YSHK5ozgbDKAiIw"
"19","bloomberg.com","UCUMZ7gohGI9HcU9VNsr2FJQ"
"20","bostonglobe.com","UCcNkwfTQuXAxAFwoAUHweJA"
"21","bostonreview.net","UCEOtO8PPWXpCQmX1QpTx3EQ"
"22","breitbart.com","UCmgnsaQIK1IR808Ebde-ssA"
"23","businessinsider.com","UCcyq283he07B7_KUX07mmtA"
"24","buzzfeed.com","UCpko_-a4wgz2u_DgDgd9fqA"
"25","campusreform.org","UCA8sK_Bba0Eb-k33bD0ldhw"
"26","cbsnews.com","UC8p1vwvWtl6T73JiExfWs1g"
"27","chicagotribune.com","UCB2aea_wLJJaklTOplAC82A"
"28","csmonitor.com","UCTdvpZLANeVfpckUBQD7lCQ"
"29","cbnnews.com","UCYI_ychRnL7sJrG6PUSBpQA"
"30","circa.com","UCvAnclelY8eSq8GyPE19KTw"
"31","city-journal.org","UCbJHyf5BRreiCcddo3N0aGg"
